foodid,food_name,unit,kal,select_time
760,海帶梗,100g,17,0
761,海帶結,100g,17,0
762,海帶絲,100g,22,0
763,乾海帶,100g,220,0
764,裙帶菜,100g,36,0
765,乾裙帶菜,100g,225,0
766,乾裙帶菜根,100g,201,0
767,鳳尾藻,100g,224,0
768,洋菜,100g,306,0
769,壽司海苔片,100g,278,0
770,寒天脆藻,100g,10,0
771,木耳,100g,38,0
772,冷凍木耳,100g,51,0
773,乾木耳平均值,100g,333,0
774,乾木耳(紅耳仔),100g,329,0
775,乾木耳(黑耳仔),100g,338,0
776,銀耳,100g,22,0
777,雪珍耳,100g,45,0
778,乾銀耳,100g,313,0
779,銀耳罐頭,100g,48,0
780,草菇,100g,36,0
781,草菇罐頭,100g,31,0
782,雞腿菇,100g,36,0
